timestamp(ms),pitch(¡Æ),roll(¡Æ),yaw(¡Æ),flex1,flex2,flex3,flex4,flex5
timestamp,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5
26861,-2.14,7.26,3.42,771,806,784,818,815
26881,0.00,5.49,3.66,767,809,783,815,818
26901,0.49,-5.37,0.73,774,808,780,817,823
26921,-0.49,-4.88,0.24,777,818,793,817,819
26941,-2.08,9.22,3.17,773,822,790,823,819
26961,-2.56,10.74,5.92,768,831,789,820,821
26981,-0.61,6.10,3.60,784,836,793,823,829
27001,2.14,-4.27,1.10,776,841,796,820,826
27021,0.79,-1.77,1.34,774,835,791,828,819
27041,0.18,6.23,2.69,779,848,797,826,830
27061,-0.43,6.96,4.39,781,856,803,822,832
27081,1.22,0.73,3.05,778,848,804,836,829
27101,2.32,-4.39,0.79,779,861,805,832,837
27121,-0.06,-4.15,0.98,782,867,806,841,834
27141,-0.98,-2.32,1.40,785,860,806,834,829
27161,-1.16,-1.16,1.34,782,863,813,836,833
27181,0.37,0.31,1.34,787,864,814,846,834
27201,2.69,-4.52,-0.12,790,875,820,848,834
27221,2.08,2.14,1.89,788,871,817,843,839
27241,2.20,2.44,4.27,795,883,815,848,841
27261,3.23,5.00,3.54,792,880,823,856,837
27281,2.32,1.77,6.47,797,881,823,852,839
27301,2.62,1.65,8.54,800,889,827,860,841
27321,4.21,5.43,6.96,806,903,832,850,842
27341,4.76,3.78,5.80,802,887,827,861,845
27361,0.18,3.05,3.42,806,889,834,864,843
27381,-3.30,2.38,2.38,822,893,830,869,851
27401,0.67,-1.53,3.42,810,895,837,867,844
27421,0.18,6.47,7.26,810,887,840,868,846
27441,-2.08,8.73,8.54,810,895,838,869,852
27461,-2.81,10.62,6.96,817,896,835,872,850
27481,-5.43,3.30,1.59,812,892,838,877,848
27501,-3.72,6.90,1.16,808,900,845,883,871
27521,-5.00,4.94,1.77,819,898,849,884,857
27541,-9.70,5.25,4.03,817,900,855,889,858
27561,-9.03,1.77,2.32,821,895,850,892,864
27581,-5.37,4.70,1.04,814,902,845,893,866
27601,-7.57,0.31,1.10,820,906,854,897,858
27621,-9.03,-4.09,0.43,823,900,852,893,865
27641,-1.16,-3.85,-0.24,822,906,851,896,866
27661,-4.58,0.98,0.49,822,909,859,900,868
27681,-5.13,-1.34,0.43,824,905,859,900,870
27701,-6.77,-5.00,1.28,826,913,857,896,867
27721,-5.19,-6.29,0.31,825,913,856,906,884
27741,-2.99,6.71,4.46,822,911,860,899,888
27761,-2.99,5.68,5.07,831,914,862,906,877
27781,-5.31,3.48,5.31,826,916,859,907,889
27801,-1.95,-0.85,2.56,831,924,865,910,881
27821,-4.82,3.85,0.98,833,923,867,922,889
27841,-4.46,4.58,0.12,835,913,867,913,889
27861,-8.91,3.48,1.95,831,918,872,917,889
27881,-7.20,6.29,5.80,831,917,873,916,883
27901,-0.92,15.69,12.88,835,922,867,916,896
27921,-1.65,11.35,13.61,830,921,870,916,896
27941,-3.05,13.67,10.93,838,922,868,921,898
27961,-6.23,26.86,12.02,833,924,864,913,887
